head,desc
Hundreds of Israeli ex-officials appeal to Trump to help end Gaza war,"""End the war"", said the letter to Trump by a former prime minister as well as former heads of Israeli intelligence agencies."
"Hackers, secret cables and security fears: The explosive fight over China's new embassy in the UK","It will be the biggest embassy in Europe, if approved. But its opponents fear it brings with it certain risks and dangers"
F1 tycoon pleads guilty in rare Singapore corruption case,"Ong had given expensive gifts to a former minister, including an all-expenses paid trip to Qatar."
Mission begins to save snails threatened by own beauty,Researchers in Cuba and the UK are working together to reveal the biological secrets of the beautiful but endangered Polymita snail.
Secret filming exposes the 'madams' involved in Kenya's child-sex trade,An undercover BBC investigation reveals the women who involve children as young as 13 in sex work.
Dozens of migrants die in boat capsize off Yemen,"Dozens are missing after a boat carrying more than 150 migrants, many believed to be Ethiopian, sank in bad weather."
Verifying latest footage as Ukraine and Russia trade drone strikes,"Latest updates from the BBC's specialists in fact-checking, verifying video and tackling disinformation."
England need 27 runs and India three wickets in fifth Test after Smith edges behind,"Follow live text, radio commentary and in-play video clips as England face India in the fifth Test at The Oval."
The big fat 'fake' Indian wedding - Gen Z's latest party trend,Wedding-themed parties - minus the marriage - have become popular among young Indians chasing new experiences.
"BBC finds electrocuted, drowned and starved cats in online torture groups",A BBC investigation finds cats and kittens mutilated and tortured by online networks with UK links.
Guardiola's biggest signing this summer? How Klopp's ex-assistant is shaping Man City,Manchester City have spent more than £150m on players this summer but Pep Guardiola's biggest signing could be Jurgen Klopp's old assistant.
'There is nothing left' - British expat family forced to flee wildfire in Cyprus,"Ben Armstrong says his ""nightmare"" came to life as his family wouldn't be safe if they stayed at their home."
Is the steep cost to save European villages from melting glaciers worth it?,"Switzerland spends almost $500m a year on protective structures. Is it worth it - or, as some suggest, should people move away from the mountain villages at risk?"
"'He definitely has it', so why did Lewis Hamilton say he was useless?","Lewis Hamilton insists he ""still loves"" Formula 1 after his most challenging weekend of his Ferrari career so far at the Hungarian Grand Prix."
I was paralysed after a skiing accident - now I'm a racing driver,"Ally Chalmers, 17, took up motor racing after being paralysed from the waist down in a skiing accident."
World-first gonorrhoea vaccine rollout begins in UK as infection rates soar,Doctors say the jabs could save the NHS millions of pounds over the next decade.
Jota and Silva's boyhood club honours brothers in new kit,The boyhood club of Diogo Jota and Andre Silva dedicates their kit for the 2025-26 season to the two brothers.
Russian volcano erupts for first time in more than 500 years,"The eruption of a volcano in Russia's Kamchatka peninsula may be linked to a massive earthquake last week, experts say."
Man dies after fall at Oasis Wembley concert,"The band said they were ""shocked and saddened"" to hear of the death of a fan."
Indian army officer under investigation for alleged assault on airline staff,SpieJet has alleged its staff members suffered a spinal fracture and grevious injuries due to the assault.
England need 27 runs and India three wickets in fifth Test after Smith edges behind,"Follow live text, radio commentary and in-play video clips as England face India in the fifth Test at The Oval."
Celtic and Rangers in Champions League play-off round draw,Celtic and Rangers are among the sides in the Champions League play-off round draw.
Swiatek becomes latest seed to fall at Canadian Open,Wimbledon champion Iga Swiatek becomes the latest seed to fall at the Canadian Open as she loses to Clara Tauson in the fourth round.
Green shoots for Man Utd or another false dawn?,"Manchester United have looked better in pre-season - are they green shoots of recovery, or is it another false dawn?"
"'He definitely has it', so why did Hamilton say he was useless?","Lewis Hamilton insists he ""still loves"" Formula 1 after his most challenging weekend of his Ferrari career so far at the Hungarian Grand Prix."
Why Guardiola's new number two could be Man City's biggest summer signing,Manchester City have spent more than £150m on players this summer but Pep Guardiola's biggest signing could be Jurgen Klopp's old assistant.
"Transfer news: Sesko and Isak latest, plus Son makes Tottenham farewell","All the latest transfer news including updates on Benjamin Sesko and Alexander Isak, plus Son Heung-Min's Tottenham departure."
